source,interview_id,family,probe_level,claim,question,phrase,matched_term,sub_type_guess,definite,tool_level_guess,question_numerals,validator_verdict,validator_rules
P3,s_148a0320de,bpo_operations,OPERATIONAL,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,"On ""Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow"" — How did this work day to day? Walk me through the steps and the systems you used.",steps and the systems,systems,invented_tool,1,specifically_unentailed,78% 92%,not_evaluated,
P3,s_187b1e66e7,bpo_operations,TRANSFER,Managed a team of 22 agents and ran the daily huddle,How would you manage AHT improvements using your team huddle approach?,AHT,aht,invented_metric,0,,,accept,
P3,s_187b1e66e7,bpo_operations,INCIDENT,Reduced AHT from 520 seconds to 430 seconds through script standardisation and coaching,Describe a specific incident when script standardisation didn't work as planned.,specific incident when script,incident,invented_event,0,,,accept,
P3,s_b78480a77e,bpo_operations,INCIDENT,Drove a 30% improvement in CSAT scores across the entire process,Describe a specific incident when a CSAT score dropped unexpectedly. What did you do?,specific incident when a,incident,invented_event,0,,,accept,
P3,s_b78480a77e,bpo_operations,TRANSFER,Delivered a 30% improvement in AHT through advanced process optimisation,How would you use process optimisation to improve a team's CSAT scores?,CSAT,csat,invented_metric,0,,,accept,
P3,s_37e2029106,product,OPERATIONAL,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,What specific actions did you take in the analytics dashboard each Monday?,analytics dashboard each Monday,dashboard,invented_tool,1,generally_entailed,,accept,
P3,s_37e2029106,product,OUTCOME,Ran 40 user interviews to find the top three pain points before writing the PRD,How did you measure the impact of addressing the top pain points on user retention?,retention,retention,invented_metric,0,,,accept,
P3,s_37e2029106,product,OUTCOME,Ran 40 user interviews to find the top three pain points before writing the PRD,How did you measure the impact of addressing the top pain points on user retention?,impact of addressing the,impact,invented_outcome,1,,,accept,
P3,s_fef962016f,bpo_operations,OPERATIONAL,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,What steps did you follow in the system to track daily attendance?,system to track daily,system,invented_tool,1,generally_entailed,,reject,no_claim_anchor
P3,s_fef962016f,bpo_operations,OPERATIONAL,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,What steps did you take in the system for daily attendance tracking?,system for daily attendance,system,invented_tool,1,generally_entailed,,reject,no_claim_anchor
P3,s_fef962016f,bpo_operations,OPERATIONAL,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,"On ""Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me"" — How did this work day to day? Walk me through the steps and the systems you used.",steps and the systems,systems,invented_tool,1,generally_entailed,35 4,not_evaluated,
P3,s_fef962016f,bpo_operations,INCIDENT,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,Describe a specific incident when a senior associate failed to meet expectations. What actions did you take?,specific incident when a,incident,invented_event,0,,,accept,
P3,s_fef962016f,bpo_operations,OPERATIONAL,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,What steps did you take in Zendesk to review the reopen report?,reopen report,report,invented_artefact,1,,,accept,
P3,s_fef962016f,bpo_operations,OPERATIONAL,Reduced AHT from 480 seconds to 430 seconds by rewriting the call opening scripts,"On ""Reduced AHT from 480 seconds to 430 seconds by rewriting the call opening scripts"" — How did this work day to day? Walk me through the steps and the systems you used.",steps and the systems,systems,invented_tool,1,specifically_unentailed,430 480,not_evaluated,
P3,s_11eaf9563c,bpo_operations,INCIDENT,Managed a team of 22 agents and ran the daily huddle,Describe a specific incident when the daily huddle didn't go as planned.,specific incident when the,incident,invented_event,0,,,accept,
P3,s_11eaf9563c,bpo_operations,TRANSFER,Managed a team of 22 agents and ran the daily huddle,How would you manage reducing AHT using your team huddle approach?,AHT,aht,invented_metric,0,,,accept,
P3,s_11eaf9563c,bpo_operations,OPERATIONAL,Held SLA attainment at 97% across four queues by rebuilding the roster model,"On ""Held SLA attainment at 97% across four queues by rebuilding the roster model"" — How did this work day to day? Walk me through the steps and the systems you used.",steps and the systems,systems,invented_tool,1,specifically_unentailed,97%,not_evaluated,
P3,s_1537475c95,bpo_operations,INCIDENT,Drove a 30% improvement in CSAT scores across the entire process,Describe a specific incident when a process change negatively impacted CSAT scores.,specific incident when a,incident,invented_event,0,,,accept,
P3,s_1537475c95,bpo_operations,TRANSFER,Delivered a 30% improvement in AHT through advanced process optimisation,How would you apply process optimization to improve CSAT with a team of 45 agents?,CSAT,csat,invented_metric,0,,45,reject,duplicate_content
P3,s_1537475c95,bpo_operations,TRANSFER,Delivered a 30% improvement in AHT through advanced process optimisation,How would you use process optimization to manage a team of 45 agents and exceed CSAT targets?,CSAT,csat,invented_metric,0,,45,reject,duplicate_content
P3,s_1537475c95,bpo_operations,TRANSFER,Delivered a 30% improvement in AHT through advanced process optimisation,"On ""Delivered a 30% improvement in AHT through advanced process optimisation"" — Suppose you had taken on a team of 45 agents and consistently exceeded all CSAT targets instead. Using the approach you described, where would you start?",CSAT,csat,invented_metric,0,,30% 45,not_evaluated,
P3,s_c016e3c3a1,product,OUTCOME,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,What was the impact on user retention after improving the first-run flow?,retention,retention,invented_metric,0,,,accept,
P3,s_c016e3c3a1,product,OUTCOME,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,What was the impact on user retention after improving the first-run flow?,impact on user retention,impact,invented_outcome,1,,,accept,
P3,s_c016e3c3a1,product,OPERATIONAL,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,What specific actions did you take in the product analytics dashboard each week?,product analytics dashboard each,dashboard,invented_tool,1,generally_entailed,,accept,
P3,s_c016e3c3a1,product,OPERATIONAL,Ran 40 user interviews to find the top three pain points before writing the PRD,What specific actions did you take in the transcription tool during the interviews?,transcription tool during the,transcription tool,invented_tool,1,generally_entailed,,reject,duplicate_content
P3,s_c016e3c3a1,product,OPERATIONAL,Ran 40 user interviews to find the top three pain points before writing the PRD,"On ""Ran 40 user interviews to find the top three pain points before writing the PRD"" — How did this work day to day? Walk me through the steps and the systems you used.",steps and the systems,systems,invented_tool,1,generally_entailed,40,not_evaluated,
P3,s_c016e3c3a1,product,OUTCOME,Ran 40 user interviews to find the top three pain points before writing the PRD,How did you measure the success of addressing the top three pain points?,success of addressing the,success,invented_outcome,1,,,reject,duplicate_content
P3,s_c016e3c3a1,product,OUTCOME,Ran 40 user interviews to find the top three pain points before writing the PRD,How did you measure the impact of addressing the top three pain points?,impact of addressing the,impact,invented_outcome,1,,,reject,duplicate_content
P3,s_028ee587fb,bpo_operations,OPERATIONAL,Ran weekly calibration with the quality team,What specific actions did you take in the system during calibration sessions?,system during calibration sessions,system,invented_tool,1,generally_entailed,,accept,
P3,s_028ee587fb,bpo_operations,OUTCOME,Ran weekly calibration with the quality team,How did you measure the success of the calibration sessions?,success of the calibration,success,invented_outcome,1,,,accept,
P3,s_028ee587fb,bpo_operations,INCIDENT,Managed rosters for 42 agents across three shifts,Describe a specific incident when managing rosters was particularly difficult.,specific incident when managing,incident,invented_event,0,,,accept,
