row_id,claim,probe_level,question,human_verdict,human_note
r0001,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,OPERATIONAL,What specific actions did you take in Zendesk to improve CSAT?,,
r0002,Carrying a quota of $1.2M ARR.,OPERATIONAL,What specific actions did you take in your CRM each day to manage your pipeline?,,
r0003,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,OPERATIONAL,What specific actions did you take in the product analytics dashboard each week?,,
r0017,Owned the recruiting funnel from sourcing through offer rollout.,OPERATIONAL,What specific tasks did you perform in the recruiting software daily?,,
r0036,Reduced reopen rate by a third.,OPERATIONAL,What specific steps did you take each day to monitor and adjust the macros?,,
r0037,Ran 40 user interviews to find the top three pain points before writing the PRD,OPERATIONAL,What specific actions did you take in the transcription tool during the interviews?,,
r0052,Reacted quickly to shifting priorities and supported multiple workstreams through the transition.,DECISION,What factors led you to prioritize updating project management tools over other tasks?,,
r0054,Carrying a quota of $1.2M ARR.,OPERATIONAL,How did you use your CRM system daily to manage your $1.2M ARR quota?,,
r0072,Reacted quickly to shifting priorities and supported multiple workstreams through the transition.,OPERATIONAL,What specific actions did you take in the project management tools during the transition?,,
r0088,Ran the deal desk.,OPERATIONAL,What specific steps did you take in Salesforce for pricing approvals?,,
r0089,Held SLA attainment at 97% across four queues by rebuilding the roster model,OPERATIONAL,How did you use Excel to adjust staffing for peak hours?,,
r0090,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,OPERATIONAL,What steps did you take in the system for daily attendance tracking?,,
r0093,"Owned attrition, engagement surveys and the onboarding programme.",OPERATIONAL,What specific actions did you take in the system to manage attrition?,,
