item_id,claim,question,sub_type,tool_level,note
i001,Managed rosters for 42 agents across three shifts,How did you verify the improvement in coverage?,,,
i002,Ran weekly calibration with the quality team,How did you use the speech analytics engine during calibration?,,,
i003,"Loan operations executive. Handled disbursement checks, credit memos and monthly reconciliation.",What drove the improvement in disbursement turnaround?,,,
i004,Managed rosters for 42 agents across three shifts,What steps did you take in the performance tracking software daily?,,,
i005,Wrote macros for the top ten issue types.,How did you track and document the 10% drop in reopen rate?,,,
i006,Processed insurance claims and mutual fund transactions at a bank's back office in Mumbai.,What specific tasks did you perform in the systems for processing claims?,,,
i007,Reduced reopen rate by a third.,What steps did you take in the auto-triage rules each week?,,,
i008,Drove a 30% improvement in CSAT scores across the entire process,Describe a specific incident when a process change negatively impacted CSAT scores.,,,
i009,Trained a demand forecast model and took it to production.,How did you track the model's population stability index?,,,
i010,Grew ARR from $400K to $1.1M,What was the most significant change you saw in conversion rates after implementing the targeted outreach campaign?,,,
i011,"Owned CASA growth, daily reconciliation and audit compliance for a metro branch.",How did you measure the success of your CASA growth initiatives?,,,
i012,Managed rosters for 42 agents across three shifts,How did you use the performance tracking software to adjust daily rosters?,,,
i013,"Built ETL pipelines with dbt and Airflow, and maintained the reporting layer in SQL.",What criteria did you use to decide the tools for building the ETL pipelines?,,,
i014,Coached four inside sales reps on closing technique,What did the coaching curriculum document contain?,,,
i015,Coached four inside sales reps on closing technique,How did you measure the improvement in closing rates after coaching the reps?,,,
i016,"Sourcing on Naukri and Shine, managed offer rollout and joinee follow-up.","What specific outcome did you achieve by managing offer rollouts and follow-ups, and how did you measure its success?",,,
i017,Managed a support team of 12 covering chat support and email support for an e-commerce platform.,Describe a specific incident when your team struggled to meet ticket volume demands.,,,
i018,"Ran daily stand-ups, tracked deliverables against milestones and presented to stakeholders every week.",What factors did you consider when deciding how to address the technical delays with stakeholders?,,,
i019,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,"On ""Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me"" — How did this work day to day? Walk me through the steps and the systems you used.",,,
i020,Processed insurance claims and mutual fund transactions at a bank's back office in Mumbai.,What specific actions did you perform in the system when processing a mutual fund transaction?,,,
i021,Carrying a quota of $1.2M ARR.,What specific actions did you take in your CRM each day to manage your pipeline?,,,
i022,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,What was the impact on user retention after improving the first-run flow?,,,
i023,"Ran daily stand-ups, tracked deliverables against milestones and presented to stakeholders every week.",How did you measure your milestone slip rate?,,,
i024,Ran discovery interviews with branch staff.,What criteria did you use to prioritize feedback from the interviews for the PRD?,,,
i025,MBA graduate seeking opportunities with a growth-oriented organisation. Strong analytical and leadership abilities.,What criteria did you use to decide which ideas to combine in your marketing plan?,,,
i026,Managed rosters for 42 agents across three shifts,How did you calculate roster efficiency?,,,
i027,Ran interview panels and reduced time to offer from 40 days to 22.,How did you track the reduction from 40 to 22 days in your process?,,,
i028,Managed nesting batches for new hires on a night shift voice process before they moved to the production floor.,How did you handle trainees below the 75% nesting pass mark?,,,
i029,Delivered a 30% improvement in AHT through advanced process optimisation,How would you use process optimization to manage a team of 45 agents and exceed CSAT targets?,,,
i030,Brought AHT down from 8 minutes to 5 and kept occupancy above 85%.,What specific actions did you take daily in the system to maintain occupancy above 85%?,,,
i031,Cut churn by reworking the trial experience and tracked user retention against a north star metric.,What specific metric showed retention improvement and how did the trial changes directly impact it?,,,
i032,Consistently at 110% of target with a conversion rate of 22% from qualified leads.,What specific tasks did you perform daily in the CRM to manage your leads?,,,
i033,"Loan operations executive. Handled disbursement checks, credit memos and monthly reconciliation.","What was the result of resolving discrepancies before month-end, and how did it impact your team's performance?",,,
i034,Built a sourcing team of six and cut attrition in the first 90 days by half.,"What specific retention strategies did you implement after the layoff, and why did you choose them?",,,
i035,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,"On ""Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow"" — How did this work day to day? Walk me through the steps and the systems you used.",,,
i036,Built pipeline through outbound prospecting and closed 34 deals last year.,What specific action led to closing the most valuable deal and what was the impact?,,,
i037,Ran workforce planning for a 24x7 contact centre.,What specific tasks did you perform daily in the workforce planning system?,,,
i038,"Owned CASA growth, daily reconciliation and audit compliance for a metro branch.",How did you measure the reduction in reconciliation breaks?,,,
i039,"Data engineer. Airflow DAGs, dbt models and a warehouse feeding Tableau extracts.",How did you measure the success of the data pipeline improvements?,,,
i040,"Managed the sales funnel for a fintech product, from first lead to closing, and grew revenue 40% year on year.",What specific actions did you take daily in the CRM to manage the sales funnel?,,,
i041,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,Describe a specific incident when a pod's performance dropped unexpectedly and how you handled it.,,,
i042,Wrote the reconciliation service in Java against a Postgres database.,How did you measure the success of the reconciliation service after deployment?,,,
i043,Owned shrinkage and abandon rate for a 200-seat call centre in Gurgaon.,Describe a specific incident when shrinkage or abandon rate increased unexpectedly. What happened?,,,
i044,Wrote macros for the top ten issue types.,What actions did you perform in the ticketing system to test and tweak macros?,,,
i045,Led the escalation desk for a SaaS product.,How did you use the war-room bridge to coordinate P1s?,,,
i046,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,What specific changes in the first-run flow led to the activation increase?,,,
i047,Owned the deploy tooling and improved throughput of the ingestion service fourfold.,Describe a specific incident when the deploy tooling failed.,,,
i048,Ran workforce planning for a 24x7 contact centre.,What specific actions did you take in the workforce planning system each morning?,,,
i049,Frontend developer building React interfaces against internal APIs.,How did you measure the success of the React interfaces you built?,,,
i050,Rapid capital deployment was reviewed by the risk committee at the end of each quarter.,How did you measure the success of the capital deployment after committee reviews?,,,
i051,Reported CX metrics to the client every Monday.,What steps did you take in the system to prepare the CX report?,,,
i052,"HR generalist handling payroll, onboarding and exit formalities for two business units.",How did you measure payroll accuracy rate?,,,
i053,"Owned attrition, engagement surveys and the onboarding programme.",What did the attrition RCA deck conclude?,,,
i054,"Managed the sales funnel for a fintech product, from first lead to closing, and grew revenue 40% year on year.",How did you use the CRM system daily to track and convert leads?,,,
i055,Deprioritised two epics to ship the MVP a quarter early.,How did you measure your sprint predictability?,,,
i056,Owned shrinkage and abandon rate for a 200-seat call centre in Gurgaon.,What did you do during the power failure that emptied the floor?,,,
i057,Ran weekly calibration with the quality team,How did you measure the lift in audit scores after calibration?,,,
i058,Managed rosters for 42 agents across three shifts,What did you do about the shift clash over the festival week?,,,
i059,Ran discovery interviews with branch staff.,How did you respond when the branch manager blocked access?,,,
i060,Coached four inside sales reps on closing technique,How did you capture the jump in conversion rates from 15% to 25%?,,,
i061,Processed insurance claims and mutual fund transactions at a bank's back office in Mumbai.,What was the impact of your prioritization approach on processing times?,,,
i062,"HR generalist handling payroll, onboarding and exit formalities for two business units.",How did you measure the success of your onboarding process?,,,
i063,Delivered a 30% improvement in AHT through advanced process optimisation,How would you apply process optimization to improve CSAT with a team of 45 agents?,,,
i064,Built a sourcing team of six and cut attrition in the first 90 days by half.,Describe a specific incident when attrition spiked unexpectedly after forming the team.,,,
i065,Ran the deal desk.,How did you measure the margin improvement the deal desk delivered?,,,
i066,Owned resolution time for P1 issues.,How did you use the customer-facing status page to manage P1s?,,,
i067,Built the experiment backlog and instrumented activation events across the funnel.,"What specific experiment improved activation rates, and how did you measure its success?",,,
