row_id,interview_id,order_index,attempt_index,stratum,validation_result,violations,primary_rule,family,tier,source
r0001,s_86c384ca3e,3,1,accept,accept,,,banking_operations,B,model
r0002,s_ea661c1af7,3,1,reject,reject,no_claim_anchor,no_claim_anchor,sales,B,
r0003,s_6f3ab700a8,3,1,accept,accept,,,data_analytics,B,model
r0004,s_811e7ed307,1,1,accept,accept,,,hr_recruitment,B,model
r0005,s_12d13a9554,6,1,accept,accept,,,sales,B,model
r0006,s_d0ae84b7da,3,1,reject,reject,scope_drift|no_claim_anchor,scope_drift,bpo_operations,A,
r0007,s_0df9c528e3,0,2,reject,reject,answer_leakage,answer_leakage,hr_recruitment,B,
r0008,s_720058fcce,6,2,reject,reject,unsupported_metric,unsupported_metric,bpo_operations,A,
r0009,s_9d7b65f9c0,1,1,accept,accept,,,banking_operations,B,model
r0010,s_cf35ada00d,7,1,reject,reject,unsupported_metric|duplicate_content|scope_drift,unsupported_metric,customer_support,B,
r0011,s_9d7b65f9c0,4,1,accept,accept,,,banking_operations,B,model
r0012,s_391636b175,2,1,reject,reject,answer_leakage|duplicate_content,answer_leakage,product,A,
r0013,s_28acef692f,6,1,reject,reject,scope_drift,scope_drift,customer_support,B,
r0014,s_ea661c1af7,3,2,reject,reject,answer_leakage,answer_leakage,sales,B,
r0015,s_d0ae84b7da,7,1,accept,accept,,,bpo_operations,A,model
r0016,s_d929070b75,3,1,reject,reject,answer_leakage,answer_leakage,sales,B,
r0017,s_3e1f863b0b,4,1,accept,accept,,,data_analytics,B,model
r0018,s_0df9c528e3,3,2,reject,reject,no_claim_anchor,no_claim_anchor,hr_recruitment,B,
r0019,s_ea661c1af7,0,1,reject,reject,answer_leakage,answer_leakage,sales,B,
r0020,s_98bba00656,3,2,reject,reject,answer_leakage,answer_leakage,sales,B,
r0021,s_2b689cd40b,3,1,accept,accept,,,banking_operations,B,model
r0022,s_d0ae84b7da,6,1,reject,reject,no_claim_anchor,no_claim_anchor,bpo_operations,A,
r0023,s_6c042589c1,0,1,reject,reject,answer_leakage,answer_leakage,sales,B,
r0024,s_cf35ada00d,0,1,reject,reject,no_claim_anchor,no_claim_anchor,customer_support,B,
r0025,s_30d335d9d8,4,1,reject,reject,answer_leakage,answer_leakage,banking_operations,B,
r0026,s_98bba00656,3,1,reject,reject,answer_leakage,answer_leakage,sales,B,
r0027,s_720058fcce,5,1,accept,accept,,,bpo_operations,A,model
r0028,s_d0ae84b7da,9,1,accept,accept,,,bpo_operations,A,model
r0029,s_720058fcce,1,1,reject,reject,answer_leakage,answer_leakage,bpo_operations,A,
r0030,s_ea661c1af7,9,1,accept,accept,,,sales,B,model
r0031,s_81ed8d6214,4,1,accept,accept,,,hr_recruitment,B,model
r0032,s_ea661c1af7,8,1,accept,accept,,,sales,B,model
r0033,s_0df9c528e3,4,2,reject,reject,no_claim_anchor,no_claim_anchor,hr_recruitment,B,
r0034,s_81ed8d6214,3,1,accept,accept,,,hr_recruitment,B,model
r0035,s_3e1f863b0b,3,1,accept,accept,,,data_analytics,B,model
r0036,s_6cd8a970c8,9,1,accept,accept,,,bpo_operations,B,model
r0037,s_720058fcce,10,1,reject,reject,answer_leakage,answer_leakage,bpo_operations,A,
r0038,s_76a8074a79,7,1,accept,accept,,,bpo_operations,A,model
r0039,s_2b689cd40b,2,1,accept,accept,,,banking_operations,B,model
r0040,s_9d7b65f9c0,3,2,accept,accept,,,banking_operations,B,regenerated
r0041,s_720058fcce,11,2,reject,reject,duplicate_content,duplicate_content,bpo_operations,A,
r0042,s_6c042589c1,4,1,accept,accept,,,sales,B,model
r0043,s_76a8074a79,0,2,accept,accept,,,bpo_operations,A,regenerated
r0044,s_ea661c1af7,2,1,reject,reject,no_claim_anchor,no_claim_anchor,sales,B,
r0045,s_d06533e45b,3,1,accept,accept,,,bpo_operations,B,model
r0046,s_6cd8a970c8,1,2,reject,reject,answer_leakage,answer_leakage,bpo_operations,B,
r0047,s_3d00bb1d81,2,1,reject,reject,no_claim_anchor,no_claim_anchor,software_engineering,B,
r0048,s_76a8074a79,2,2,reject,reject,answer_leakage,answer_leakage,bpo_operations,A,
r0049,s_76a8074a79,10,2,reject,reject,no_claim_anchor,no_claim_anchor,bpo_operations,A,
r0050,s_12d13a9554,4,1,accept,accept,,,sales,B,model
r0051,s_6cd8a970c8,0,1,accept,accept,,,bpo_operations,B,model
r0052,s_6ea39b150d,0,1,accept,accept,,,data_analytics,B,model
r0053,s_85df6da344,0,1,reject,reject,answer_leakage,answer_leakage,customer_support,B,
r0054,s_cf35ada00d,4,1,reject,reject,scope_drift,scope_drift,customer_support,B,
r0055,s_ec0f59f9ed,0,1,accept,accept,,,hr_recruitment,B,model
r0056,s_fb259eee56,2,1,reject,reject,answer_leakage,answer_leakage,customer_support,B,
r0057,s_0df9c528e3,4,1,reject,reject,no_claim_anchor,no_claim_anchor,hr_recruitment,B,
r0058,s_76a8074a79,8,1,reject,reject,answer_leakage,answer_leakage,bpo_operations,A,
r0059,s_ea661c1af7,4,2,accept,accept,,,sales,B,regenerated
r0060,s_d0ae84b7da,3,2,accept,accept,,,bpo_operations,A,regenerated
r0061,s_0df9c528e3,0,1,reject,reject,answer_leakage,answer_leakage,hr_recruitment,B,
r0062,s_76a8074a79,2,1,reject,reject,no_claim_anchor,no_claim_anchor,bpo_operations,A,
r0063,s_ea661c1af7,1,1,reject,reject,answer_leakage,answer_leakage,sales,B,
r0064,s_ea661c1af7,2,2,reject,reject,answer_leakage,answer_leakage,sales,B,
r0065,s_0fdaa16eeb,0,1,reject,reject,multiple_fact_targets,multiple_fact_targets,customer_support,B,
r0066,s_7ac47cf461,3,1,accept,accept,,,data_analytics,B,model
r0067,s_6e06e9c82b,4,1,accept,accept,,,data_analytics,B,model
r0068,s_811e7ed307,2,1,reject,reject,answer_leakage,answer_leakage,hr_recruitment,B,
r0069,s_dfdab5134c,4,1,reject,reject,answer_leakage,answer_leakage,bpo_operations,B,
r0070,s_391636b175,8,1,accept,accept,,,product,A,model
r0071,s_6ea39b150d,2,1,accept,accept,,,data_analytics,B,model
r0072,s_9ca16afee1,2,1,accept,accept,,,sales,B,model
r0073,s_86c384ca3e,0,1,accept,accept,,,banking_operations,B,model
r0074,s_517ec3834b,1,1,accept,accept,,,software_engineering,B,model
r0075,s_ea661c1af7,5,1,accept,accept,,,sales,B,model
r0076,s_b2e79c18f4,1,1,accept,accept,,,software_engineering,B,model
r0077,s_dfdab5134c,3,2,reject,reject,answer_leakage,answer_leakage,bpo_operations,B,
r0078,s_28acef692f,6,2,reject,reject,scope_drift,scope_drift,customer_support,B,
r0079,s_12d13a9554,0,2,accept,accept,,,sales,B,regenerated
r0080,s_28acef692f,5,1,accept,accept,,,customer_support,B,model
r0081,s_720058fcce,6,1,reject,reject,unsupported_metric,unsupported_metric,bpo_operations,A,
r0082,s_86c384ca3e,2,1,accept,accept,,,banking_operations,B,model
r0083,s_6cd8a970c8,7,1,reject,reject,duplicate_content|no_claim_anchor,duplicate_content,bpo_operations,B,
r0084,s_28acef692f,3,1,reject,reject,no_claim_anchor,no_claim_anchor,customer_support,B,
r0085,s_391636b175,2,2,reject,reject,answer_leakage,answer_leakage,product,A,
r0086,s_720058fcce,4,1,accept,accept,,,bpo_operations,A,model
r0087,s_cf35ada00d,3,1,reject,reject,scope_drift,scope_drift,customer_support,B,
r0088,s_65b7dc8f69,4,1,accept,accept,,,customer_support,B,model
r0089,s_fb259eee56,0,1,reject,reject,answer_leakage,answer_leakage,customer_support,B,
r0090,s_d0ae84b7da,0,1,reject,reject,answer_leakage,answer_leakage,bpo_operations,A,
r0091,s_ec0f59f9ed,4,1,accept,accept,,,hr_recruitment,B,model
r0092,s_dfdab5134c,3,1,reject,reject,answer_leakage,answer_leakage,bpo_operations,B,
r0093,s_6cd8a970c8,8,1,accept,accept,,,bpo_operations,B,model
r0094,s_720058fcce,11,1,reject,reject,duplicate_content,duplicate_content,bpo_operations,A,
r0095,s_cf35ada00d,9,1,accept,accept,,,customer_support,B,model
r0096,s_30d335d9d8,3,1,accept,accept,,,banking_operations,B,model
r0097,s_d929070b75,2,1,accept,accept,,,sales,B,model
r0098,s_9d7b65f9c0,3,1,reject,reject,no_claim_anchor,no_claim_anchor,banking_operations,B,
r0099,s_6f3ab700a8,1,1,accept,accept,,,data_analytics,B,model
r0100,s_76a8074a79,6,1,accept,accept,,,bpo_operations,A,model
