example_id,sub_type,tool_level,provenance,human_verdict,human_note,contested,claim,question,rationale
p5_d1be19,invented_tool,contested,mined,,,1,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,What specific actions did you take in the analytics dashboard each Monday?,instrument: dashboard
p5_7e5de8,invented_tool,generally_entailed,mined,,,0,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,What steps did you follow in the system to track daily attendance?,instrument: system
p5_647b34,invented_tool,generally_entailed,observed,accept,Useful operational probe for attendance tracking.,0,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,What steps did you take in the system for daily attendance tracking?,instrument: system
p5_439034,invented_tool,contested,observed,reject,Assumes a product analytics dashboard not stated in the claim.,1,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,What specific actions did you take in the product analytics dashboard each week?,instrument: dashboard
p5_327cf5,invented_tool,specifically_unentailed,observed,reject,Assumes a transcription tool not stated in the claim.,0,Ran 40 user interviews to find the top three pain points before writing the PRD,What specific actions did you take in the transcription tool during the interviews?,instrument: transcription tool
p5_b27f40,invented_tool,generally_entailed,mined,,,0,Ran weekly calibration with the quality team,What specific actions did you take in the system during calibration sessions?,instrument: system
p5_354651,invented_tool,generally_entailed,mined,,,0,Managed rosters for 42 agents across three shifts,What specific steps did you take in the system to adjust rosters for unexpected absences?,instrument: system
p5_5bf529,invented_tool,generally_entailed,mined,,,0,Managed rosters for 42 agents across three shifts,What specific steps did you take in the system to adjust rosters during unexpected absences?,instrument: system
p5_be5da8,invented_tool,generally_entailed,mined,,,0,Reported CX metrics to the client every Monday.,What steps did you take in the system to prepare the CX report?,instrument: system
p5_4358c1,invented_tool,generally_entailed,mined,,,0,Ran workforce planning for a 24x7 contact centre.,What specific tasks did you perform daily in the workforce planning system?,instrument: system
p5_cad819,invented_tool,generally_entailed,mined,,,0,Cut first response time from 9 hours to under 2.,What specific actions did you take in the ticketing system to reduce response time?,instrument: ticketing system
p5_9f7105,invented_tool,generally_entailed,mined,,,0,Led the escalation desk for a SaaS product.,What specific actions did you take in the system to prioritize P1 issues?,instrument: system
p5_9df26f,invented_tool,specifically_unentailed,observed,reject,Assumes macros that the claim never mentions.,0,Reduced reopen rate by a third.,What specific steps did you take each day to monitor and adjust the macros?,instrument: macros
p5_7b3ce9,invented_tool,generally_entailed,observed,accept,Relevant operational probe into how pipeline work was managed.,0,Carrying a quota of $1.2M ARR.,What specific actions did you take in your CRM each day to manage your pipeline?,instrument: crm
