item_id,sub_type,tool_level,note,in_tokens,out_tokens
i001,invented_outcome,,"The question presupposes an improvement in coverage, which the claim does not state.",2480,41
i002,invented_tool,specifically_unentailed,The speech analytics engine is a tool not required by the claim.,2479,42
i003,invented_outcome,,"The question presupposes an improvement in disbursement turnaround, which the claim does not state.",2488,44
i004,invented_tool,specifically_unentailed,"The question presupposes a specific tool for performance tracking, which is not entailed by managing rosters.",2483,51
i005,invented_outcome,,"The question presupposes a 10% drop in reopen rate, which the claim does not state.",2485,45
i006,none,,"The question solicits specific tasks and refers to systems generally, which are entailed by the work described in the claim.",2490,45
i007,invented_tool,specifically_unentailed,"The question presupposes the existence of 'auto-triage rules', which are not entailed by the claim.",2482,53
i008,invented_event,,"The question presupposes a specific incident that negatively impacted CSAT scores, which the claim does not establish.",2490,45
i009,invented_metric,,The question presupposes tracking a specific measure not stated in the claim.,2483,38
i010,invented_outcome,,"The question presupposes a change in conversion rates, which the claim does not state.",2492,42
i011,none,,"The question asks about success, which is a nominalisation (P3), not an unsupported premise.",2486,41
i012,invented_tool,specifically_unentailed,"The question presupposes a specific tool for performance tracking, which is not entailed by managing rosters.",2485,51
i013,none,,"The question solicits criteria for tool selection, which is not an unsupported premise.",2495,37
i014,invented_artefact,,"The question presupposes the existence of a coaching curriculum document, which the claim does not produce.",2478,45
i015,invented_outcome,,"The question presupposes an improvement in closing rates, which the claim does not state.",2484,42
i016,invented_outcome,,"The question presupposes a specific outcome from managing offer rollouts and follow-ups, which the claim does not state.",2501,48
i017,none,,"The question solicits an incident without asserting one, so it is not an unsupported premise.",2493,39
i018,invented_event,,The question presupposes 'the technical delays' which are not mentioned in the claim.,2493,41
i019,none,,"The question solicits information about systems used, which is indefinite and does not assert a specific tool.",2522,41
i020,none,,The system is generally entailed for processing transactions at a bank's back office.,2493,37
i021,none,generally_entailed,Managing a quota generally entails using a CRM.,2488,36
i022,invented_outcome,,"The question presupposes an impact on user retention, which the claim does not state.",2495,42
i023,invented_metric,,The question presupposes the candidate tracks a specific measure (milestone slip rate) not mentioned in the claim.,2486,46
i024,invented_artefact,,"The question presupposes the existence of a PRD, which the claim does not produce.",2483,44
i025,invented_artefact,,"The question presupposes the existence of a marketing plan, which the claim does not establish.",2492,44
i026,invented_metric,,"The question presupposes the candidate tracks or can compute 'roster efficiency', which the claim does not establish.",2478,46
i027,invented_metric,,"The question presupposes tracking a specific measure, which is not stated in the claim.",2493,41
i028,invented_condition,,The 75% nesting pass mark is a threshold not set by the claim.,2494,39
i029,none,,The question does not presuppose an unsupported premise; it solicits how process optimization could be used in a different context.,2494,46
i030,invented_tool,specifically_unentailed,"The question presupposes a system for maintaining occupancy, which is not entailed by the claim.",2497,49
i031,invented_metric,,"The question presupposes a specific metric showed retention improvement, which the claim does not specify.",2494,42
i032,invented_tool,generally_entailed,Managing leads at this scale generally entails using a CRM.,2496,40
i033,invented_outcome,,"The question presupposes a result from resolving discrepancies, which the claim does not state.",2498,42
i034,invented_event,,The question presupposes a layoff event which the claim does not mention.,2498,39
i035,none,,"The question solicits information about systems used, which is indefinite and does not assert a specific tool.",2525,41
i036,invented_outcome,,"The question presupposes an impact from the most valuable deal, which the claim does not state.",2490,44
i037,invented_tool,generally_entailed,The workforce planning system is generally entailed for running workforce planning.,2485,42
i038,invented_outcome,,"The question presupposes a reduction in reconciliation breaks, which the claim does not state.",2484,42
i039,none,,"The question uses a nominalisation 'the success', which is covered by P3 and does not presuppose an unsupported premise.",2490,47
i040,none,,The CRM is generally entailed for managing a sales funnel.,2501,33
i041,invented_event,,"The question presupposes a specific incident of performance drop, which is not established in the claim.",2497,43
i042,invented_outcome,,The question presupposes a result (success) that the claim does not state.,2486,41
i043,none,,The question solicits an incident with 'a specific incident' and does not presuppose one occurred.,2492,42
i044,invented_tool,specifically_unentailed,"The question presupposes a ticketing system, which is not entailed by writing macros.",2486,48
i045,invented_tool,specifically_unentailed,The war-room bridge is a specific tool not entailed by leading an escalation desk.,2484,46
i046,none,,"The question refers to the activation increase, which is stated in the claim.",2495,36
i047,invented_event,,The question presupposes a specific incident of failure which the claim does not establish.,2484,40
i048,invented_tool,specifically_unentailed,"The question presupposes a specific workforce planning system, which is not entailed by the claim.",2486,49
i049,none,,"The question uses a nominalisation 'the success', which is covered by P3.",2483,38
i050,invented_outcome,,The question presupposes a result (success) that the claim does not state.,2490,41
i051,invented_tool,specifically_unentailed,"The question presupposes a system, which is not entailed by the claim.",2484,46
i052,invented_metric,,"The question presupposes the candidate tracks a specific measure, payroll accuracy rate, which the claim does not establish.",2484,46
i053,invented_artefact,,"The question presupposes the existence of an RCA deck, which the claim does not produce.",2480,44
i054,invented_tool,generally_entailed,The CRM system is generally entailed for managing a sales funnel.,2499,42
i055,invented_metric,,"The question presupposes the candidate tracks sprint predictability, which the claim does not establish.",2484,42
i056,invented_event,,"The question presupposes a specific event, 'the power failure', which the claim does not establish.",2489,44
i057,invented_outcome,,"The question presupposes a lift in audit scores, which the claim does not state.",2480,42
i058,invented_event,,"The question presupposes a specific event, 'the shift clash over the festival week', which is not established in the claim.",2484,49
i059,invented_event,,"The question presupposes a specific episode where the branch manager blocked access, which is not established in the claim.",2478,46
i060,invented_outcome,,The question presupposes a result (jump in conversion rates) not stated in the claim.,2488,43
i061,invented_outcome,,"The question presupposes an impact on processing times, which the claim does not state.",2490,42
i062,none,,"The question uses a nominalisation 'the success' which is the topic of the question, not a business object.",2487,44
i063,none,,The question is a transfer probe and does not presuppose an achievement.,2492,36
i064,invented_event,,"The question presupposes a specific incident of attrition spiking, which the claim does not establish.",2494,44
i065,invented_outcome,,The question presupposes a margin improvement which the claim does not state.,2477,39
i066,invented_tool,specifically_unentailed,The customer-facing status page is a specific tool not entailed by owning resolution time for P1 issues.,2483,50
i067,invented_outcome,,"The question presupposes an improvement in activation rates, which the claim does not state.",2488,42
i068,invented_event,,The question presupposes a specific payment dispute event that the claim does not mention.,2488,40
i069,invented_tool,specifically_unentailed,"The question presupposes the use of macros, which is a mechanism inside a category not required by the claim.",2482,52
i070,invented_tool,specifically_unentailed,Storybook is a named vendor tool not entailed by the claim.,2482,43
i071,none,generally_entailed,Managing 35 agents' attendance generally entails a system for tracking.,2493,40
i072,invented_outcome,,"The question presupposes an improvement in conversion rates, which the claim does not state.",2484,42
i073,invented_condition,,The 95% penalty threshold is a condition not set by the claim.,2492,38
