row_id,interview_id,attempt_index,stratum,validation_result,violations,primary_rule,family,tier,source
r0001,s_148a0320de,2,reject,reject,duplicate_content,duplicate_content,bpo_operations,A,
r0002,s_f55c0852ff,1,reject,reject,no_claim_anchor,no_claim_anchor,sales,B,
r0003,s_c016e3c3a1,1,accept,accept,,,product,A,model
r0004,s_b1f0bf5ff3,1,reject,reject,duplicate_content,duplicate_content,hr_recruitment,B,
r0005,s_137f1fc585,1,accept,accept,,,software_engineering,B,model
r0006,s_d6c10492f2,1,reject,reject,answer_leakage,answer_leakage,sales,B,
r0007,s_b78480a77e,2,accept,accept,,,bpo_operations,A,regenerated
r0008,s_46151c60a4,1,accept,accept,,,customer_support,B,model
r0009,s_54a9368e5b,1,reject,reject,duplicate_content,duplicate_content,sales,B,
r0010,s_c8a7c7f421,1,accept,accept,,,product,B,model
r0011,s_fef962016f,1,reject,reject,answer_leakage,answer_leakage,bpo_operations,A,
r0012,s_538b1d05f5,2,accept,accept,,,hr_recruitment,B,regenerated
r0013,s_46151c60a4,2,reject,reject,no_claim_anchor,no_claim_anchor,customer_support,B,
r0014,s_fef962016f,2,reject,reject,duplicate_content,duplicate_content,bpo_operations,A,
r0015,s_b78480a77e,1,accept,accept,,,bpo_operations,A,model
r0016,s_b260f22a77,1,reject,reject,answer_leakage,answer_leakage,customer_support,B,
r0017,s_902db4caee,1,accept,accept,,,hr_recruitment,B,model
r0018,s_9deb237f34,1,accept,accept,,,general,B,model
r0019,s_46151c60a4,1,accept,accept,,,customer_support,B,model
r0020,s_f13fc04da1,2,reject,reject,answer_leakage,answer_leakage,software_engineering,B,
r0021,s_9deb237f34,1,accept,accept,,,general,B,model
r0022,s_c016e3c3a1,1,accept,accept,,,product,A,model
r0023,s_46151c60a4,2,reject,reject,answer_leakage,answer_leakage,customer_support,B,
r0024,s_355024110f,1,accept,accept,,,general,B,model
r0025,s_36d24fd8c1,1,accept,accept,,,general,B,model
r0026,s_1537475c95,1,reject,reject,answer_leakage,answer_leakage,bpo_operations,A,
r0027,s_f55c0852ff,1,reject,reject,answer_leakage,answer_leakage,sales,B,
r0028,s_b78480a77e,1,accept,accept,,,bpo_operations,A,model
r0029,s_c016e3c3a1,1,reject,reject,duplicate_content,duplicate_content,product,A,
r0030,s_187b1e66e7,1,reject,reject,answer_leakage,answer_leakage,bpo_operations,A,
r0031,s_fef962016f,1,accept,accept,,,bpo_operations,A,model
r0032,s_05280c12d0,1,accept,accept,,,general,B,model
r0033,s_b78480a77e,1,reject,reject,unsupported_metric,unsupported_metric,bpo_operations,A,
r0034,s_4177e0aa29,1,reject,reject,multiple_fact_targets,multiple_fact_targets,bpo_operations,B,
r0035,s_1537475c95,2,accept,accept,,,bpo_operations,A,regenerated
r0036,s_df85adf28b,1,accept,accept,,,customer_support,B,model
r0037,s_c016e3c3a1,1,reject,reject,duplicate_content,duplicate_content,product,A,
r0038,s_df85adf28b,2,reject,reject,duplicate_content,duplicate_content,customer_support,B,
r0039,s_d6c10492f2,1,accept,accept,,,sales,B,model
r0040,s_17dbc6576e,1,reject,reject,multiple_fact_targets,multiple_fact_targets,bpo_operations,B,
r0041,s_54a9368e5b,2,accept,accept,,,sales,B,regenerated
r0042,s_48029dec30,1,accept,accept,,,sales,B,model
r0043,s_36d24fd8c1,1,accept,accept,,,general,B,model
r0044,s_11eaf9563c,1,accept,accept,,,bpo_operations,A,model
r0045,s_46151c60a4,1,reject,reject,duplicate_content,duplicate_content,customer_support,B,
r0046,s_37e2029106,1,accept,accept,,,product,A,model
r0047,s_36d24fd8c1,1,accept,accept,,,general,B,model
r0048,s_59521eb183,1,reject,reject,answer_leakage,answer_leakage,banking_operations,B,
r0049,s_1537475c95,1,accept,accept,,,bpo_operations,A,model
r0050,s_355024110f,1,accept,accept,,,general,B,model
r0051,s_37e2029106,1,accept,accept,,,product,A,model
r0052,s_8f35d89aef,1,accept,accept,,,general,B,model
r0053,s_07bb4208ed,2,reject,reject,duplicate_content,duplicate_content,data_analytics,B,
r0054,s_f55c0852ff,2,reject,reject,answer_leakage,answer_leakage,sales,B,
r0055,s_8d3e8a68ae,1,reject,reject,duplicate_content,duplicate_content,software_engineering,B,
r0056,s_007bf6b39c,1,reject,reject,no_claim_anchor,no_claim_anchor,hr_recruitment,B,
r0057,s_f55c0852ff,1,reject,reject,answer_leakage,answer_leakage,sales,B,
r0058,s_df85adf28b,1,reject,reject,no_claim_anchor,no_claim_anchor,customer_support,B,
r0059,s_187b1e66e7,1,reject,reject,answer_leakage,answer_leakage,bpo_operations,A,
r0060,s_37e2029106,1,accept,accept,,,product,A,model
r0061,s_355024110f,1,accept,accept,,,general,B,model
