row_id,claim,probe_level,question,human_verdict,human_note
r0003,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,OPERATIONAL,What specific actions did you take in the product analytics dashboard each week?,,
r0008,Ran the chat support queue.,DECISION,What factors did you weigh when deciding how to prioritize chat support tickets during high-demand periods?,,
r0009,Coached four inside sales reps on closing technique,OUTCOME,How did you capture the jump in conversion rates from 15% to 25%?,,
r0012,"Led campus hiring, sourcing, interview coordination and joinee onboarding for 120 offers.",OUTCOME,What impact did the campus hiring have on your team's overall performance metrics?,,
r0014,Reduced AHT from 480 seconds to 430 seconds by rewriting the call opening scripts,OPERATIONAL,How did you rewrite the call opening scripts to reduce AHT?,,
r0020,Cut p95 latency from 900ms to 180ms.,OUTCOME,How did you measure the improvement in latency from 900ms to 180ms?,,
r0029,Ran 40 user interviews to find the top three pain points before writing the PRD,OUTCOME,How did you measure the success of addressing the top three pain points?,,
r0031,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,INCIDENT,Describe a time when the new escalation workflow failed and how you resolved it.,,
r0036,Reduced reopen rate by a third.,OPERATIONAL,What specific steps did you take each day to monitor and adjust the macros?,,
r0038,Reduced reopen rate by a third.,OUTCOME,How did you measure the reduction in reopen rate to confirm it was a third?,,
r0039,Consistently at 110% of target with a conversion rate of 22% from qualified leads.,DECISION,"What criteria did you use to prioritize leads, and why did you choose those over others?",,
r0047,"Handled vendor coordination, invoice follow-up and the daily MIS for the regional office.",INCIDENT,Describe a specific time when a vendor issue delayed your work.,,
r0051,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,VALIDATION,How many people were involved in rebuilding the first-run flow?,,
r0052,Reacted quickly to shifting priorities and supported multiple workstreams through the transition.,DECISION,What factors led you to prioritize updating project management tools over other tasks?,,
r0062,Ran the chat support queue.,OUTCOME,What specific outcome showed your chat support queue management was successful?,,
r0067,Owned resolution time for P1 issues.,INCIDENT,Describe a specific P1 issue that was hardest to resolve and what you did.,,
r0069,"Loan operations executive. Handled disbursement checks, credit memos and monthly reconciliation.",OUTCOME,"What was the result of resolving discrepancies before month-end, and how did it impact your team's performance?",,
r0071,Managed rosters for 42 agents across three shifts,INCIDENT,Describe a specific time when managing the roster for 42 agents went wrong.,,
r0093,"Owned attrition, engagement surveys and the onboarding programme.",OPERATIONAL,What specific actions did you take in the system to manage attrition?,,
r0098,Managed a team of 45 agents and consistently exceeded all CSAT targets,VALIDATION,How long did you manage the team of 45 agents?,,
