row_id,claim,probe_level,question,human_verdict,human_note
r0001,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,OPERATIONAL,What specific actions did you take in Zendesk to improve CSAT?,reject,"Assumes Zendesk, which the claim never establishes."
r0002,Carrying a quota of $1.2M ARR.,OPERATIONAL,What specific actions did you take in your CRM each day to manage your pipeline?,accept,Relevant operational probe into how pipeline work was managed.
r0003,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,OPERATIONAL,What specific actions did you take in the product analytics dashboard each week?,reject,Assumes a product analytics dashboard not stated in the claim.
r0004,"HR generalist handling payroll, onboarding and exit formalities for two business units.",OUTCOME,How did you measure success in managing payroll and onboarding?,reject,Bundles payroll and onboarding into one success-measurement question.
r0005,Wrote the reconciliation service in Java against a Postgres database.,DECISION,What factors led you to choose Java for the core logic?,accept,Relevant decision probe tied directly to the implementation choice.
r0006,Consistently at 110% of target with a conversion rate of 22% from qualified leads.,VALIDATION,How long did you maintain the 110% target achievement?,reject,Hands back the exact 110% figure from the claim.
r0007,Managed a team of 45 agents and consistently exceeded all CSAT targets,VALIDATION,How long did you manage the team of agents?,accept,Reasonable validation of management scope and duration.
r0008,Ran the chat support queue.,DECISION,What factors did you weigh when deciding how to prioritize chat support tickets during high-demand periods?,accept,Relevant decision probe for queue prioritization.
r0009,Coached four inside sales reps on closing technique,OUTCOME,How did you capture the jump in conversion rates from 15% to 25%?,reject,Invents a 15% to 25% conversion-rate outcome not in the claim.
r0010,Raised activation from 34% to 46% by rebuilding user onboarding after twenty user interviews.,INCIDENT,Describe a specific time during the rebuild when you faced a major setback.,accept,Specific incident probe aligned with the onboarding rebuild.
r0011,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,VALIDATION,How long did you manage the team of 35 agents?,reject,Hands back the exact 35-agent figure.
r0012,"Led campus hiring, sourcing, interview coordination and joinee onboarding for 120 offers.",OUTCOME,What impact did the campus hiring have on your team's overall performance metrics?,reject,Invents team-performance metrics as the outcome of campus hiring.
r0013,Led the escalation desk for a SaaS product.,INCIDENT,Describe a specific P1 issue that took longer than 2 hours to resolve.,accept,Specific incident probe for a claimed escalation-desk responsibility.
r0014,Reduced AHT from 480 seconds to 430 seconds by rewriting the call opening scripts,OPERATIONAL,How did you rewrite the call opening scripts to reduce AHT?,accept,Directly probes the process used to achieve the claimed AHT improvement.
r0015,Drove a 30% improvement in CSAT scores across the entire process,INCIDENT,Describe a specific incident when a CSAT score dropped unexpectedly. What did you do?,accept,Good incident probe; asks for a concrete failure and response.
r0016,Managed a support team of 12 covering chat support and email support for an e-commerce platform.,VALIDATION,How long did you manage the 12-member support team?,reject,Hands back the exact 12-person team size.
r0017,Owned the recruiting funnel from sourcing through offer rollout.,OPERATIONAL,What specific tasks did you perform in the recruiting software daily?,accept,Relevant operational probe about the recruiting workflow.
r0018,"Ran daily stand-ups, tracked deliverables against milestones and presented to stakeholders every week.",DECISION,What factors did you consider when deciding how to address the technical delays with stakeholders?,reject,Introduces technical delays that are not in the claim.
r0019,Led the escalation desk for a SaaS product.,VALIDATION,How many escalations did you handle weekly while leading the escalation desk?,accept,Useful scope validation for escalation-desk ownership.
r0020,Cut p95 latency from 900ms to 180ms.,OUTCOME,How did you measure the improvement in latency from 900ms to 180ms?,reject,Repeats the exact 900ms and 180ms figures.
r0021,"Ran daily stand-ups, tracked deliverables against milestones and presented to stakeholders every week.",VALIDATION,How many team members attended the daily stand-ups you ran?,accept,Reasonable scope validation for the stand-up responsibility.
r0022,"Ran 18 experiments against a single north star metric, 5 of which shipped",OPERATIONAL,"Which system did you use to track experiment results, and what actions did you take inside it daily?",accept,Good operational probe into experiment tracking and execution.
r0023,Owned resolution time for P1 issues.,INCIDENT,Describe a specific P1 issue that took longer than expected to resolve. What happened?,accept,Specific incident probe tied to P1 resolution work.
r0024,Managed a team of 20 and improved process efficiency across the department over two years.,VALIDATION,How many people were in your team when you started managing?,accept,Useful validation of management scope at the start of the period.
r0025,"Handled vendor coordination, invoice follow-up and the daily MIS for the regional office.",DECISION,What factors did you consider when deciding on the temporary solution for the vendor delay?,reject,Introduces a temporary vendor-delay solution not stated in the claim.
r0026,Delivered a 30% improvement in AHT through advanced process optimisation,VALIDATION,What specific process changes led to the 30% AHT improvement?,reject,Hands back the exact 30% AHT figure.
r0027,Carrying a quota of $1.2M ARR.,OUTCOME,"What was the final ARR achieved, and how did you track progress towards the $1.2M goal?",reject,Hands back the $1.2M ARR figure and asks for it again.
r0028,Managed a team of 45 agents and consistently exceeded all CSAT targets,OPERATIONAL,"What system did you use to track CSAT, and what actions did you take based on the data?",accept,Good operational probe connecting tracking to management action.
r0029,Ran 40 user interviews to find the top three pain points before writing the PRD,OUTCOME,How did you measure the success of addressing the top three pain points?,accept,Outcome probe tied to the claimed discovery work.
r0030,Held SLA attainment at 97% across four queues by rebuilding the roster model,INCIDENT,Tell me about a week when SLA dropped below 97% and what you did.,accept,Good incident probe for SLA pressure and corrective action.
r0031,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,INCIDENT,Describe a time when the new escalation workflow failed and how you resolved it.,accept,Specific incident probe directly tied to the escalation redesign.
r0032,MBA graduate seeking opportunities with a growth-oriented organisation. Strong analytical and leadership abilities.,DECISION,What criteria did you use to decide which ideas to combine in your marketing plan?,reject,Assumes a marketing plan absent from the claim.
r0033,Managed a team of 45 agents and consistently exceeded all CSAT targets,TRANSFER,How would you apply a focus on quality to achieve a 30% CSAT improvement across the whole process?,reject,Transfer question invents a 30% CSAT target not present in the claim.
r0034,"Owned shrinkage and occupancy for a 150-seat process, reporting the numbers through the daily huddle.",INCIDENT,Describe a specific incident when shrinkage or occupancy numbers were unexpectedly high or low.,accept,Specific incident probe around shrinkage/occupancy variability.
r0035,Drove a 30% improvement in CSAT scores across the entire process,VALIDATION,How did you measure the improvement in CSAT scores?,accept,Directly probes how the claimed CSAT improvement was measured.
r0036,Reduced reopen rate by a third.,OPERATIONAL,What specific steps did you take each day to monitor and adjust the macros?,reject,Assumes macros that the claim never mentions.
r0037,Ran 40 user interviews to find the top three pain points before writing the PRD,OPERATIONAL,What specific actions did you take in the transcription tool during the interviews?,reject,Assumes a transcription tool not stated in the claim.
r0038,Reduced reopen rate by a third.,OUTCOME,How did you measure the reduction in reopen rate to confirm it was a third?,reject,Hands back the claimed one-third reduction.
r0039,Consistently at 110% of target with a conversion rate of 22% from qualified leads.,DECISION,"What criteria did you use to prioritize leads, and why did you choose those over others?",accept,Good decision probe on lead prioritization criteria.
r0040,Brought AHT down from 8 minutes to 5 and kept occupancy above 85%.,VALIDATION,How many team members were involved in reducing AHT and maintaining occupancy?,accept,Reasonable validation of staffing scope.
r0041,Coached four inside sales reps on closing technique,OUTCOME,How did you ensure the increase in conversion rate was due to your coaching?,reject,Assumes a conversion-rate increase that the claim never states.
r0042,Owned a pipeline of 80 prospects and hit quota six quarters running.,DECISION,What criteria did you use to decide which prospects to focus on when leads went silent?,accept,Good decision probe on prospect prioritization.
r0043,"Handled vendor coordination, invoice follow-up and the daily MIS for the regional office.",VALIDATION,How many vendors did you coordinate with regularly?,accept,Useful validation of vendor-management scope.
r0044,Managed a team of 22 agents and ran the daily huddle,INCIDENT,Describe a specific incident when the daily huddle didn't go as planned.,accept,Specific incident probe for the claimed huddle responsibility.
r0045,Ran the chat support queue.,OUTCOME,How did you measure success in managing the chat support queue?,accept,Appropriate outcome probe for queue management.
r0046,Ran 40 user interviews to find the top three pain points before writing the PRD,OPERATIONAL,What steps did you take each day to prepare for the user interviews?,accept,Good operational probe tied to the user-interview workflow.
r0047,"Handled vendor coordination, invoice follow-up and the daily MIS for the regional office.",INCIDENT,Describe a specific time when a vendor issue delayed your work.,accept,Specific incident probe directly connected to vendor coordination.
r0048,"Worked in NPA recovery for a housing finance company, coordinating with legal on more than 300 accounts.",VALIDATION,How long did you work on NPA recovery for those 300 accounts?,reject,Hands back the 300-account figure from the claim.
r0049,Managed a team of 45 agents and consistently exceeded all CSAT targets,DECISION,"What decision did you make that most improved CSAT, and why did you choose that over other options?",accept,Good decision probe tied to the CSAT responsibility.
r0050,Managed a team of 20 and improved process efficiency across the department over two years.,OUTCOME,How did you measure the improvement in process efficiency?,accept,Reasonable outcome probe for process-efficiency work.
r0051,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,VALIDATION,How many people were involved in rebuilding the first-run flow?,accept,Useful scope validation for the onboarding rebuild.
r0052,Reacted quickly to shifting priorities and supported multiple workstreams through the transition.,DECISION,What factors led you to prioritize updating project management tools over other tasks?,reject,Assumes project-management tools that the claim never establishes.
r0053,"Built ETL pipelines with dbt and Airflow, and maintained the reporting layer in SQL.",DECISION,What factors did you consider when choosing dbt and Airflow for your ETL pipelines?,accept,Strong decision probe tied to an explicit technology choice.
