row_id,claim,probe_level,question,human_verdict,human_note
r0001,Processed insurance claims and mutual fund transactions at a bank's back office in Mumbai.,INCIDENT,Describe a time when processing a mutual fund transaction went wrong. What happened?,,
r0002,Carrying a quota of $1.2M ARR.,OPERATIONAL,What specific actions did you take in your CRM daily to manage your pipeline?,,
r0003,"Data engineer. Airflow DAGs, dbt models and a warehouse feeding Tableau extracts.",OPERATIONAL,What steps do you take each morning to ensure your data pipelines run smoothly?,,
r0004,Ran interview panels and reduced time to offer from 40 days to 22.,OPERATIONAL,"Which specific system did you use to streamline the interview process, and what actions did you take within it?",,
r0005,Coached four inside sales reps on closing technique,INCIDENT,Tell me about a time when coaching a sales rep didn't go as planned.,,
r0006,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,DECISION,What factors did you consider when deciding to redesign the escalation workflow?,,
r0007,HRBP for a 400-person org.,VALIDATION,How long were you the HRBP for this 400-person organization?,,
r0008,Managed a team of 45 agents and consistently exceeded all CSAT targets,TRANSFER,How would you use a quality-focused method to achieve a 30% CSAT improvement across the process?,,
r0009,"Owned CASA growth, daily reconciliation and audit compliance for a metro branch.",INCIDENT,Describe a specific time when reconciliation failed and how you handled it.,,
r0010,Wrote macros for the top ten issue types.,OUTCOME,How did you track and document the 10% drop in reopen rate?,,
r0011,"Owned CASA growth, daily reconciliation and audit compliance for a metro branch.",OUTCOME,How did you measure the success of your CASA growth initiatives?,,
r0012,"Ran 18 experiments against a single north star metric, 5 of which shipped",VALIDATION,How long did each of the 18 experiments run on average?,,
r0013,Led the escalation desk for a SaaS product.,OUTCOME,How did you measure the success of resolving P1 issues?,,
r0014,Carrying a quota of $1.2M ARR.,OPERATIONAL,"Which CRM system did you use for tracking your $1.2M ARR quota, and what specific tasks did you perform in it daily?",,
r0015,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,OPERATIONAL,What specific actions did you take in Zendesk to review the reopen report?,,
r0016,Consistently at 110% of target with a conversion rate of 22% from qualified leads.,INCIDENT,Describe a specific week when you struggled to meet your 110% target.,,
r0017,Wrote SQL against the data warehouse to produce weekly reporting for the operations group.,OUTCOME,How did you know the reports helped the operations team improve performance?,,
r0018,HRBP for a 400-person org.,DECISION,"What specific decision did you make to reduce attrition by 15%, and what options did you reject?",,
r0019,Carrying a quota of $1.2M ARR.,VALIDATION,How many deals did you close to achieve the $1.2M ARR?,,
r0020,"Managed the sales funnel for a fintech product, from first lead to closing, and grew revenue 40% year on year.",OUTCOME,How did you measure the 40% revenue growth from your sales funnel management?,,
r0021,Ran KYC audits and reported exceptions to the risk committee.,OPERATIONAL,"Which systems did you use for KYC audits, and what actions did you perform in them daily?",,
r0022,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,INCIDENT,Can you describe a specific incident where the callback SLA failed and how you addressed it?,,
r0023,Owned a pipeline of 80 prospects and hit quota six quarters running.,VALIDATION,How did you manage and track the pipeline of 80 prospects over six quarters?,,
r0024,Reduced reopen rate by a third.,VALIDATION,How many cases did you handle to achieve this reduction?,,
r0025,"Worked in NPA recovery for a housing finance company, coordinating with legal on more than 300 accounts.",OUTCOME,How did you measure the success of your NPA recovery efforts on those 300 accounts?,,
r0026,"Managed the sales funnel for a fintech product, from first lead to closing, and grew revenue 40% year on year.",OUTCOME,How did you measure the 40% revenue growth year on year?,,
r0027,Managed a team of 45 agents and consistently exceeded all CSAT targets,OPERATIONAL,"What system did you use daily to track CSAT, and what actions did you take based on it?",,
r0028,Reduced AHT from 480 seconds to 430 seconds by rewriting the call opening scripts,TRANSFER,How would you apply your script-rewriting approach to improve coordination among 4 pods with 4 senior associates?,,
r0029,Drove a 30% improvement in CSAT scores across the entire process,VALIDATION,What specific strategies did you implement to achieve the 30% CSAT improvement?,,
r0030,Closed 34 deals last year.,OUTCOME,How did you measure the success of the deals after closing them?,,
r0031,"Recruiter hiring for engineering roles. Sourcing on Naukri and Shine, managed offer rollout and joinee follow-up.",INCIDENT,Tell me about a time when sourcing on Naukri or Shine didn't go as planned.,,
r0032,Closed 34 deals last year.,DECISION,What criteria did you use to decide which deals to prioritize and why?,,
r0033,HRBP for a 400-person org.,OUTCOME,How did you measure the 25% increase in new hire satisfaction scores?,,
r0034,"Recruiter hiring for engineering roles. Sourcing on Naukri and Shine, managed offer rollout and joinee follow-up.",OPERATIONAL,Describe your daily routine for sourcing candidates on Naukri and Shine.,,
r0035,Wrote SQL against the data warehouse to produce weekly reporting for the operations group.,DECISION,What factors did you consider when deciding which metrics to include in the reports?,,
r0036,Managed rosters for 42 agents across three shifts,OUTCOME,How did you measure the 15% increase in quality scores?,,
r0037,Delivered a 30% improvement in AHT through advanced process optimisation,OPERATIONAL,What were the daily steps you took to achieve the 30% improvement in AHT?,,
