item_id,claim,probe_level,question,verdict,category,note
k01,"Owned CASA growth, daily reconciliation and audit compliance for a metro branch.",VALIDATION,How long did you manage CASA growth and what was the size of the branch?,,,
k02,Carrying a quota of $1.2M ARR.,OUTCOME,"What was the final ARR achieved, and what specific actions led to that result?",,,
k03,Reduced AHT from 480 seconds to 430 seconds by rewriting the call opening scripts,TRANSFER,How would you reduce AHT in a team of 35 agents using your call script method?,,,
k04,Grew ARR from $400K to $1.1M,OPERATIONAL,What specific tasks did you perform daily in the CRM to track sales progress?,,,
k05,"Built event pipelines on Kafka and Redis, running as microservices behind an API gateway.",INCIDENT,Describe a specific incident when a microservice in your Kafka-Redis pipeline failed. What happened?,,,
k06,Owned shrinkage and abandon rate for a 200-seat call centre in Gurgaon.,DECISION,What factors did you consider when deciding on the overtime strategy during the call spike?,,,
k07,MBA graduate seeking opportunities with a growth-oriented organisation. Strong analytical and leadership abilities.,DECISION,What criteria did you use to decide which ideas to combine in your marketing plan?,,,
k08,Led the escalation desk for a SaaS product.,INCIDENT,Describe a specific incident where a P1 issue wasn't resolved in 2 hours.,,,
k09,Cut first response time from 9 hours to under 2.,DECISION,What specific process bottleneck did you identify and how did your decision to address it impact response time?,,,
k10,Managed a team of 45 agents and consistently exceeded all CSAT targets,TRANSFER,How would you improve CSAT scores by 30% across the process using a focus on quality?,,,
k11,"Handled vendor coordination, invoice follow-up and the daily MIS for the regional office.",DECISION,What factors did you consider when deciding on the temporary solution for the vendor delay?,,,
k12,Managed a team of 20 and improved process efficiency across the department over two years.,DECISION,What criteria did you use to decide which tasks to prioritize during the high-pressure week?,,,
k13,Raised activation from 34% to 46% by rebuilding user onboarding after twenty user interviews.,INCIDENT,Describe a specific time during the rebuild when you faced a major setback.,,,
k14,Owned the recruiting funnel from sourcing through offer rollout.,OPERATIONAL,What specific tasks did you perform in the recruiting software daily?,,,
k15,"Built event pipelines on Kafka and Redis, running as microservices behind an API gateway.",OUTCOME,How did you measure the success of the event pipelines after implementation?,,,
k16,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,INCIDENT,Describe a time when the new escalation workflow failed and how you resolved it.,,,
k17,Reduced reopen rate by a third.,OPERATIONAL,What specific steps did you take each day to monitor and adjust the macros?,,,
k18,Reduced reopen rate by a third.,OPERATIONAL,What steps did you take each morning to review and adjust the macros?,,,
k19,Re-engineered the intake process and delivered rapid improvements in turnaround time.,DECISION,What criteria did you use to prioritize changes during the re-engineering?,,,
k20,"Led campus hiring, sourcing, interview coordination and joinee onboarding for 120 offers.",OUTCOME,What impact did the campus hiring have on your team's overall performance metrics?,,,
k21,"HR generalist handling payroll, onboarding and exit formalities for two business units.",OUTCOME,How did you measure the success of your onboarding processes?,,,
k22,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,INCIDENT,Can you describe a specific incident where the callback SLA failed and how you addressed it?,,,
k23,"Owned attrition, engagement surveys and the onboarding programme.",OPERATIONAL,What specific actions did you take in the system to manage attrition?,,,
k24,Coached four inside sales reps on closing technique,OUTCOME,How did you ensure the increase in conversion rate was due to your coaching?,,,
