row_id,interview_id,order_index,attempt_index,family,tier,probe_level,claim,question,validator_verdict,validator_rules,human_verdict,human_note,is_unsupported_premise_candidate,question_only_numerals,claim_len_words
r0003,s_c016e3c3a1,5,1,product,A,OPERATIONAL,Grew activation from 41% to 63% over two quarters by rebuilding the first-run flow,What specific actions did you take in the product analytics dashboard each week?,accept,,reject,Assumes a product analytics dashboard not stated in the claim.,yes,,14
r0012,s_538b1d05f5,3,2,hr_recruitment,B,OUTCOME,"Led campus hiring, sourcing, interview coordination and joinee onboarding for 120 offers.",What impact did the campus hiring have on your team's overall performance metrics?,accept,,reject,Invents team-performance metrics as the outcome of campus hiring.,yes,,12
r0018,s_9deb237f34,3,1,general,B,DECISION,"Ran daily stand-ups, tracked deliverables against milestones and presented to stakeholders every week.",What factors did you consider when deciding how to address the technical delays with stakeholders?,accept,,reject,Introduces technical delays that are not in the claim.,yes,,13
r0025,s_36d24fd8c1,2,1,general,B,DECISION,"Handled vendor coordination, invoice follow-up and the daily MIS for the regional office.",What factors did you consider when deciding on the temporary solution for the vendor delay?,accept,,reject,Introduces a temporary vendor-delay solution not stated in the claim.,yes,,13
r0032,s_05280c12d0,2,1,general,B,DECISION,MBA graduate seeking opportunities with a growth-oriented organisation. Strong analytical and leadership abilities.,What criteria did you use to decide which ideas to combine in your marketing plan?,accept,,reject,Assumes a marketing plan absent from the claim.,yes,,13
r0036,s_df85adf28b,3,1,customer_support,B,OPERATIONAL,Reduced reopen rate by a third.,What specific steps did you take each day to monitor and adjust the macros?,accept,,reject,Assumes macros that the claim never mentions.,yes,,6
r0041,s_54a9368e5b,7,2,sales,B,OUTCOME,Coached four inside sales reps on closing technique,How did you ensure the increase in conversion rate was due to your coaching?,accept,,reject,Assumes a conversion-rate increase that the claim never states.,yes,,8
r0052,s_8f35d89aef,3,1,general,B,DECISION,Reacted quickly to shifting priorities and supported multiple workstreams through the transition.,What factors led you to prioritize updating project management tools over other tasks?,accept,,reject,Assumes project-management tools that the claim never establishes.,yes,,12
r0093,s_007bf6b39c,1,1,hr_recruitment,B,OPERATIONAL,"Owned attrition, engagement surveys and the onboarding programme.",What specific actions did you take in the system to manage attrition?,accept,,reject,Assumes a system for attrition management that the claim never names.,yes,,8
r0001,s_148a0320de,7,2,bpo_operations,A,OPERATIONAL,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,What specific actions did you take in Zendesk to improve CSAT?,reject,duplicate_content,reject,"Assumes Zendesk, which the claim never establishes.",no,,14
r0002,s_f55c0852ff,2,1,sales,B,OPERATIONAL,Carrying a quota of $1.2M ARR.,What specific actions did you take in your CRM each day to manage your pipeline?,reject,no_claim_anchor,accept,Relevant operational probe into how pipeline work was managed.,no,,6
r0004,s_b1f0bf5ff3,3,1,hr_recruitment,B,OUTCOME,"HR generalist handling payroll, onboarding and exit formalities for two business units.",How did you measure success in managing payroll and onboarding?,reject,duplicate_content,reject,Bundles payroll and onboarding into one success-measurement question.,no,,12
r0005,s_137f1fc585,1,1,software_engineering,B,DECISION,Wrote the reconciliation service in Java against a Postgres database.,What factors led you to choose Java for the core logic?,accept,,accept,Relevant decision probe tied directly to the implementation choice.,no,,10
r0006,s_d6c10492f2,0,1,sales,B,VALIDATION,Consistently at 110% of target with a conversion rate of 22% from qualified leads.,How long did you maintain the 110% target achievement?,reject,answer_leakage,reject,Hands back the exact 110% figure from the claim.,no,,14
r0007,s_b78480a77e,0,2,bpo_operations,A,VALIDATION,Managed a team of 45 agents and consistently exceeded all CSAT targets,How long did you manage the team of agents?,accept,,accept,Reasonable validation of management scope and duration.,no,,12
r0008,s_46151c60a4,9,1,customer_support,B,DECISION,Ran the chat support queue.,What factors did you weigh when deciding how to prioritize chat support tickets during high-demand periods?,accept,,accept,Relevant decision probe for queue prioritization.,no,,5
r0009,s_54a9368e5b,7,1,sales,B,OUTCOME,Coached four inside sales reps on closing technique,How did you capture the jump in conversion rates from 15% to 25%?,reject,duplicate_content,reject,Invents a 15% to 25% conversion-rate outcome not in the claim.,no,15|25,8
r0010,s_c8a7c7f421,2,1,product,B,INCIDENT,Raised activation from 34% to 46% by rebuilding user onboarding after twenty user interviews.,Describe a specific time during the rebuild when you faced a major setback.,accept,,accept,Specific incident probe aligned with the onboarding rebuild.,no,,14
r0011,s_fef962016f,0,1,bpo_operations,A,VALIDATION,Managed a team of 35 agents across 4 pods with 4 senior associates reporting to me,How long did you manage the team of 35 agents?,reject,answer_leakage,reject,Hands back the exact 35-agent figure.,no,,16
r0013,s_46151c60a4,3,2,customer_support,B,INCIDENT,Led the escalation desk for a SaaS product.,Describe a specific P1 issue that took longer than 2 hours to resolve.,reject,no_claim_anchor,accept,Specific incident probe for a claimed escalation-desk responsibility.,no,2,8
r0014,s_fef962016f,8,2,bpo_operations,A,OPERATIONAL,Reduced AHT from 480 seconds to 430 seconds by rewriting the call opening scripts,How did you rewrite the call opening scripts to reduce AHT?,reject,duplicate_content,accept,Directly probes the process used to achieve the claimed AHT improvement.,no,,14
r0015,s_b78480a77e,7,1,bpo_operations,A,INCIDENT,Drove a 30% improvement in CSAT scores across the entire process,Describe a specific incident when a CSAT score dropped unexpectedly. What did you do?,accept,,accept,Good incident probe; asks for a concrete failure and response.,no,,11
r0016,s_b260f22a77,0,1,customer_support,B,VALIDATION,Managed a support team of 12 covering chat support and email support for an e-commerce platform.,How long did you manage the 12-member support team?,reject,answer_leakage,reject,Hands back the exact 12-person team size.,no,,16
r0017,s_902db4caee,1,1,hr_recruitment,B,OPERATIONAL,Owned the recruiting funnel from sourcing through offer rollout.,What specific tasks did you perform in the recruiting software daily?,accept,,accept,Relevant operational probe about the recruiting workflow.,no,,9
r0019,s_46151c60a4,0,1,customer_support,B,VALIDATION,Led the escalation desk for a SaaS product.,How many escalations did you handle weekly while leading the escalation desk?,accept,,accept,Useful scope validation for escalation-desk ownership.,no,,8
r0020,s_f13fc04da1,4,2,software_engineering,B,OUTCOME,Cut p95 latency from 900ms to 180ms.,How did you measure the improvement in latency from 900ms to 180ms?,reject,answer_leakage,reject,Repeats the exact 900ms and 180ms figures.,no,,7
r0021,s_9deb237f34,0,1,general,B,VALIDATION,"Ran daily stand-ups, tracked deliverables against milestones and presented to stakeholders every week.",How many team members attended the daily stand-ups you ran?,accept,,accept,Reasonable scope validation for the stand-up responsibility.,no,,13
r0022,s_c016e3c3a1,11,1,product,A,OPERATIONAL,"Ran 18 experiments against a single north star metric, 5 of which shipped","Which system did you use to track experiment results, and what actions did you take inside it daily?",accept,,accept,Good operational probe into experiment tracking and execution.,no,,13
r0023,s_46151c60a4,6,2,customer_support,B,INCIDENT,Owned resolution time for P1 issues.,Describe a specific P1 issue that took longer than expected to resolve. What happened?,reject,answer_leakage,accept,Specific incident probe tied to P1 resolution work.,no,,6
r0024,s_355024110f,0,1,general,B,VALIDATION,Managed a team of 20 and improved process efficiency across the department over two years.,How many people were in your team when you started managing?,accept,,accept,Useful validation of management scope at the start of the period.,no,,15
r0026,s_1537475c95,2,1,bpo_operations,A,VALIDATION,Delivered a 30% improvement in AHT through advanced process optimisation,What specific process changes led to the 30% AHT improvement?,reject,answer_leakage,reject,Hands back the exact 30% AHT figure.,no,,10
r0027,s_f55c0852ff,3,1,sales,B,OUTCOME,Carrying a quota of $1.2M ARR.,"What was the final ARR achieved, and how did you track progress towards the $1.2M goal?",reject,answer_leakage,reject,Hands back the $1.2M ARR figure and asks for it again.,no,,6
r0028,s_b78480a77e,5,1,bpo_operations,A,OPERATIONAL,Managed a team of 45 agents and consistently exceeded all CSAT targets,"What system did you use to track CSAT, and what actions did you take based on the data?",accept,,accept,Good operational probe connecting tracking to management action.,no,,12
r0029,s_c016e3c3a1,9,1,product,A,OUTCOME,Ran 40 user interviews to find the top three pain points before writing the PRD,How did you measure the success of addressing the top three pain points?,reject,duplicate_content,accept,Outcome probe tied to the claimed discovery work.,no,,15
r0030,s_187b1e66e7,8,1,bpo_operations,A,INCIDENT,Held SLA attainment at 97% across four queues by rebuilding the roster model,Tell me about a week when SLA dropped below 97% and what you did.,reject,answer_leakage,accept,Good incident probe for SLA pressure and corrective action.,no,,13
r0031,s_fef962016f,6,1,bpo_operations,A,INCIDENT,Improved CSAT from 78% to 92% in four quarters by redesigning the escalation workflow,Describe a time when the new escalation workflow failed and how you resolved it.,accept,,accept,Specific incident probe directly tied to the escalation redesign.,no,,14
r0033,s_b78480a77e,6,1,bpo_operations,A,TRANSFER,Managed a team of 45 agents and consistently exceeded all CSAT targets,How would you apply a focus on quality to achieve a 30% CSAT improvement across the whole process?,reject,unsupported_metric,reject,Transfer question invents a 30% CSAT target not present in the claim.,no,30,12
r0034,s_4177e0aa29,1,1,bpo_operations,B,INCIDENT,"Owned shrinkage and occupancy for a 150-seat process, reporting the numbers through the daily huddle.",Describe a specific incident when shrinkage or occupancy numbers were unexpectedly high or low.,reject,multiple_fact_targets,accept,Specific incident probe around shrinkage/occupancy variability.,no,,15
r0035,s_1537475c95,1,2,bpo_operations,A,VALIDATION,Drove a 30% improvement in CSAT scores across the entire process,How did you measure the improvement in CSAT scores?,accept,,accept,Directly probes how the claimed CSAT improvement was measured.,no,,11
r0037,s_c016e3c3a1,8,1,product,A,OPERATIONAL,Ran 40 user interviews to find the top three pain points before writing the PRD,What specific actions did you take in the transcription tool during the interviews?,reject,duplicate_content,reject,Assumes a transcription tool not stated in the claim.,no,,15
r0038,s_df85adf28b,5,2,customer_support,B,OUTCOME,Reduced reopen rate by a third.,How did you measure the reduction in reopen rate to confirm it was a third?,reject,duplicate_content,reject,Hands back the claimed one-third reduction.,no,,6
r0039,s_d6c10492f2,4,1,sales,B,DECISION,Consistently at 110% of target with a conversion rate of 22% from qualified leads.,"What criteria did you use to prioritize leads, and why did you choose those over others?",accept,,accept,Good decision probe on lead prioritization criteria.,no,,14
r0040,s_17dbc6576e,0,1,bpo_operations,B,VALIDATION,Brought AHT down from 8 minutes to 5 and kept occupancy above 85%.,How many team members were involved in reducing AHT and maintaining occupancy?,reject,multiple_fact_targets,accept,Reasonable validation of staffing scope.,no,,13
r0042,s_48029dec30,4,1,sales,B,DECISION,Owned a pipeline of 80 prospects and hit quota six quarters running.,What criteria did you use to decide which prospects to focus on when leads went silent?,accept,,accept,Good decision probe on prospect prioritization.,no,,12
r0043,s_36d24fd8c1,0,1,general,B,VALIDATION,"Handled vendor coordination, invoice follow-up and the daily MIS for the regional office.",How many vendors did you coordinate with regularly?,accept,,accept,Useful validation of vendor-management scope.,no,,13
r0044,s_11eaf9563c,3,1,bpo_operations,A,INCIDENT,Managed a team of 22 agents and ran the daily huddle,Describe a specific incident when the daily huddle didn't go as planned.,accept,,accept,Specific incident probe for the claimed huddle responsibility.,no,,11
r0045,s_46151c60a4,10,1,customer_support,B,OUTCOME,Ran the chat support queue.,How did you measure success in managing the chat support queue?,reject,duplicate_content,accept,Appropriate outcome probe for queue management.,no,,5
r0046,s_37e2029106,8,1,product,A,OPERATIONAL,Ran 40 user interviews to find the top three pain points before writing the PRD,What steps did you take each day to prepare for the user interviews?,accept,,accept,Good operational probe tied to the user-interview workflow.,no,,15
r0047,s_36d24fd8c1,1,1,general,B,INCIDENT,"Handled vendor coordination, invoice follow-up and the daily MIS for the regional office.",Describe a specific time when a vendor issue delayed your work.,accept,,accept,Specific incident probe directly connected to vendor coordination.,no,,13
r0048,s_59521eb183,0,1,banking_operations,B,VALIDATION,"Worked in NPA recovery for a housing finance company, coordinating with legal on more than 300 accounts.",How long did you work on NPA recovery for those 300 accounts?,reject,answer_leakage,reject,Hands back the 300-account figure from the claim.,no,,17
r0049,s_1537475c95,4,1,bpo_operations,A,DECISION,Managed a team of 45 agents and consistently exceeded all CSAT targets,"What decision did you make that most improved CSAT, and why did you choose that over other options?",accept,,accept,Good decision probe tied to the CSAT responsibility.,no,,12
