item_id,sub_type,tool_level,provenance,contested
i001,invented_outcome,,constructed,0
i002,invented_tool,specifically_unentailed,constructed,0
i003,invented_outcome,,constructed,0
i004,invented_tool,specifically_unentailed,mined,0
i005,invented_metric,,mined,0
i006,invented_tool,generally_entailed,mined,0
i007,invented_tool,specifically_unentailed,constructed,0
i008,none,,mined_negative,0
i009,invented_metric,,constructed,0
i010,invented_metric,,mined,0
i011,none,,mined_negative,0
i012,invented_tool,specifically_unentailed,mined,0
i013,none,,mined_negative,0
i014,invented_artefact,,constructed,0
i015,invented_outcome,,mined,0
i016,none,,mined_negative,0
i017,none,,mined_negative,0
i018,invented_event,,observed,0
i019,none,,mined_negative,0
i020,invented_tool,generally_entailed,mined,0
i021,invented_tool,generally_entailed,observed,0
i022,invented_metric,,mined,0
i023,invented_metric,,constructed,0
i024,invented_artefact,,mined,0
i025,invented_artefact,,observed,0
i026,invented_metric,,constructed,0
i027,none,,mined_negative,0
i028,invented_condition,,constructed,0
i029,none,,mined_negative,0
i030,invented_tool,generally_entailed,mined,0
i031,none,,mined_negative,0
i032,invented_tool,generally_entailed,mined,0
i033,none,,mined_negative,0
i034,none,,mined_negative,0
i035,none,,mined_negative,0
i036,none,,mined_negative,0
i037,invented_tool,generally_entailed,mined,0
i038,invented_outcome,,constructed,0
i039,none,,mined_negative,0
i040,invented_tool,generally_entailed,mined,0
i041,none,,mined_negative,0
i042,none,,mined_negative,0
i043,none,,mined_negative,0
i044,invented_tool,generally_entailed,mined,0
i045,invented_tool,specifically_unentailed,constructed,0
i046,none,,mined_negative,0
i047,none,,mined_negative,0
i048,invented_tool,generally_entailed,mined,0
i049,none,,mined_negative,0
i050,none,,mined_negative,0
i051,invented_tool,generally_entailed,mined,0
i052,invented_metric,,constructed,0
i053,invented_artefact,,constructed,0
i054,invented_tool,generally_entailed,mined,0
i055,invented_metric,,constructed,0
i056,invented_event,,constructed,0
i057,invented_outcome,,constructed,0
i058,invented_event,,constructed,0
i059,invented_event,,constructed,0
i060,invented_outcome,,observed,0
i061,none,,mined_negative,0
i062,none,,mined_negative,0
i063,none,,mined_negative,0
i064,none,,mined_negative,0
i065,invented_outcome,,constructed,0
i066,invented_tool,specifically_unentailed,constructed,0
i067,none,,mined_negative,0
i068,invented_event,,constructed,0
i069,invented_tool,specifically_unentailed,observed,0
i070,invented_tool,specifically_unentailed,constructed,0
i071,invented_tool,generally_entailed,observed,0
i072,invented_outcome,,mined,0
i073,invented_condition,,constructed,0
i074,invented_metric,,mined,0
i075,invented_event,,constructed,0
i076,none,,mined_negative,0
i077,invented_event,,constructed,0
i078,invented_condition,,constructed,0
i079,invented_tool,contested,observed,1
i080,invented_event,,observed,0
i081,none,,mined_negative,0
i082,none,,mined_negative,0
i083,invented_tool,generally_entailed,mined,0
i084,invented_metric,,constructed,0
i085,invented_tool,generally_entailed,mined,0
i086,none,,mined_negative,0
i087,invented_condition,,constructed,0
i088,invented_artefact,,constructed,0
i089,invented_event,,constructed,0
i090,none,,mined_negative,0
i091,invented_metric,,constructed,0
i092,none,,mined_negative,0
i093,invented_tool,generally_entailed,mined,0
i094,invented_event,,constructed,0
i095,invented_condition,,constructed,0
i096,invented_metric,,mined,0
i097,invented_artefact,,constructed,0
i098,invented_metric,,constructed,0
i099,none,,mined_negative,0
i100,invented_metric,,mined,0
i101,invented_artefact,,constructed,0
i102,invented_tool,generally_entailed,mined,0
i103,none,,mined_negative,0
i104,none,,mined_negative,0
i105,none,,mined_negative,0
i106,invented_condition,,constructed,0
i107,none,,mined_negative,0
i108,none,,mined_negative,0
i109,none,,mined_negative,0
i110,invented_event,,constructed,0
i111,none,,mined_negative,0
i112,none,,mined_negative,0
i113,none,,mined_negative,0
i114,invented_tool,specifically_unentailed,constructed,0
i115,invented_tool,specifically_unentailed,constructed,0
i116,none,,mined_negative,0
i117,invented_condition,,constructed,0
i118,invented_metric,,constructed,0
i119,invented_tool,specifically_unentailed,constructed,0
i120,none,,mined_negative,0
i121,invented_outcome,,constructed,0
i122,invented_artefact,,constructed,0
i123,none,,mined_negative,0
i124,invented_tool,specifically_unentailed,constructed,0
i125,invented_tool,generally_entailed,mined,0
i126,invented_artefact,,constructed,0
i127,invented_tool,generally_entailed,mined,0
i128,none,,mined_negative,0
